ID,名称,实体类型,域归属,重要性,描述,置信度,提取方法
detailed_0,粮税征收,核心资源,人域域;天域域,高,人域向天域缴纳的粮食税收，是基础行政资源,0.9,detailed_mapping
detailed_1,人役征召,核心资源,人域域;天域域,高,天域对人域的人力征召权，包括劳役和兵役,0.9,detailed_mapping
detailed_2,链籍指标,核心资源,人域域;天域域,高,天域制定的链籍管理标准和配额,0.9,detailed_mapping
detailed_3,童生青壮征召,核心资源,人域域;天域域,高,天域优先征召人域的优秀青年,0.9,detailed_mapping
detailed_4,评印权,核心资源,人域域;天域域,高,天域对人域器械和技术的评印审核权威,0.9,detailed_mapping
detailed_5,界核维护承包,核心资源,人域域;天域域,高,人域承担的界核维护工作合同,0.9,detailed_mapping
detailed_6,《链籍法》,法条制度,人域域;天域域,中高,规范链籍管理的基本法律,0.9,detailed_mapping
detailed_7,链祭日,法条制度,人域域;天域域,中高,固定的链法祭祀活动日期,0.9,detailed_mapping
detailed_8,新生链测,法条制度,人域域;天域域,中高,新生儿的链法天赋测试仪式,0.9,detailed_mapping
detailed_9,环约巡誓,法条制度,人域域;天域域,中高,定期进行的环印约定宣誓仪式,0.9,detailed_mapping
detailed_10,万器朝链,法条制度,天域域;灵域域;人域域,中高,所有器械向链法致敬的仪式,0.9,detailed_mapping
detailed_11,评印院年审,法条制度,人域域;天域域,中高,评印院的年度审核制度,0.9,detailed_mapping
detailed_12,巡链官,关键角色,人域域;天域域,中高,负责巡视链法执行情况的天域官员,0.9,detailed_mapping
detailed_13,缚司,关键角色,人域域;天域域,中高,负责约束和管理的执法人员,0.9,detailed_mapping
detailed_14,乡祭/里正,关键角色,人域域;天域域,中高,基层的宗教和行政负责人,0.9,detailed_mapping
detailed_15,被降等的黑籍户,关键角色,人域域;天域域,中高,因违法被降等的问题人员,0.9,detailed_mapping
detailed_16,税收官,关键角色,人域域;天域域,中高,负责税收征收的官员,0.9,detailed_mapping
detailed_17,链籍官,关键角色,人域域;天域域,中高,管理链籍的专门官员,0.9,detailed_mapping
detailed_18,地方领主,关键角色,人域域;天域域,中高,人域的地方统治者,0.9,detailed_mapping
detailed_19,民兵组织,关键角色,人域域;天域域,中高,地方武装力量,0.9,detailed_mapping
detailed_20,链算所参数与标准,核心资源,人域域;灵域域,高,灵域制定的计算和测量标准,0.9,detailed_mapping
detailed_21,学徒供给,核心资源,人域域;灵域域,高,向灵域提供的学徒候选人,0.9,detailed_mapping
detailed_22,低端代工,核心资源,人域域;灵域域,高,人域承担的低技术含量制造工作,0.9,detailed_mapping
detailed_23,链墨/链纤维采购,核心资源,人域域;灵域域,高,灵域从人域采购的基础材料,0.9,detailed_mapping
detailed_24,学徒名额,核心资源,人域域;灵域域,高,灵域提供给人域的学徒培训名额,0.9,detailed_mapping
detailed_25,器械供应,核心资源,人域域;灵域域,高,灵域向人域供应的器械设备,0.9,detailed_mapping
detailed_26,《环印律》,法条制度,人域域;灵域域,中高,规范环印使用的法律条文,0.9,detailed_mapping
