ID,源实体ID,目标实体ID,关系类型,强度,描述,跨域,置信度
cross_domain_relation_0,hook_entity_0,hook_entity_0,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_1,hook_entity_0,hook_entity_1,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_2,hook_entity_0,hook_entity_5,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_3,hook_entity_0,hook_entity_6,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_4,hook_entity_1,hook_entity_0,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_5,hook_entity_1,hook_entity_1,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_6,hook_entity_1,hook_entity_5,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_7,hook_entity_1,hook_entity_6,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_8,hook_entity_2,hook_entity_0,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_9,hook_entity_2,hook_entity_1,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_10,hook_entity_2,hook_entity_5,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_11,hook_entity_2,hook_entity_6,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_12,hook_entity_3,hook_entity_0,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_13,hook_entity_3,hook_entity_1,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_14,hook_entity_3,hook_entity_5,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_15,hook_entity_3,hook_entity_6,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_16,hook_entity_4,hook_entity_0,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_17,hook_entity_4,hook_entity_1,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_18,hook_entity_4,hook_entity_5,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_19,hook_entity_4,hook_entity_6,对立,1.0,人域与天域间的推断实体冲突,True,0.8
cross_domain_relation_20,hook_entity_0,hook_entity_2,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_21,hook_entity_0,hook_entity_3,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_22,hook_entity_0,hook_entity_5,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
cross_domain_relation_23,hook_entity_0,hook_entity_7,对立,0.5,人域与灵域间的推断实体冲突,True,0.8
